istilah,pengertian,undang_undang,uu,url,status
Dampak Lingkungan Hidup,Dampak Lingkungan Hidup adalah pengaruh perubahan pada lingkungan hidup yang diakibatkan oleh suatu usaha dan/atau kegiatan,Undang-Undang Nomor 32 Tahun 2009,Perlindungan dan Pengelolaan Lingkungan Hidup,https://paralegal.id/pengertian/dampak-lingkungan-hidup/,OK
Dampak Perubahan Iklim,"Dampak Perubahan Iklim adalah kerugian atau manfaat akibat adanya Perubahan Iklim dalam bentuk yang dapat diukur atau dihitung secara langsung, baik secara fisik, sosial, maupun ekonomi.",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor 12 Tahun 2024,Penyelenggaraan Kontribusi yang Ditetapkan secara Nasional dalam Penanganan Perubahan Iklim,https://paralegal.id/pengertian/dampak-perubahan-iklim/,OK
Dana,"Dana adalah semua aset atau benda bergerak atau tidak bergerak, baik yang berwujud maupun yang tidak berwujud, yang diperoleh dengan cara apa pun dan dalam bentuk apa pun, termasuk dalam format digital atau elektronik, alat bukti kepemilikan, atau keterkaitan dengan semua aset atau benda tersebut, termasuk tetapi tidak terbatas pada kredit bank, cek perjalanan, cek yang dikeluarkan oleh bank, perintah pengiriman uang, saham, sekuritas, obligasi, bank draf, dan surat pengakuan utang",Undang-Undang Nomor 9 Tahun 2013,Pencegahan dan Pemberantasan Tindak Pidana Pendanaan Terorisme,https://paralegal.id/pengertian/dana/,OK
Usaha Pertambangan,"Usaha Pertambangan adalah kegiatan dalam rangka pengusahaan mineral atau batubara yang meliputi tahapan kegiatan penyelidikan umum, eksplorasi, studi kelayakan, konstruksi, penambangan, pengolahan dan pemurnian, pengangkutan dan penjualan, serta pascatambang",Undang-Undang Nomor 4 Tahun 2009,Pertambangan Mineral dan Batubara,https://paralegal.id/pengertian/usaha-pertambangan/,OK
Bantuan Biaya Pendidikan Dokter Spesialis atau Dokter Gigi Spesialis,Bantuan Biaya Pendidikan Dokter Spesialis atau Dokter Gigi Spesialis adalah bagian dari Bandikdok yang diberikan kepada mahasiswa program studi profesi dokter spesialis atau dokter gigi spesialis.,Peraturan Menteri Kesehatan Nomor 37 Tahun 2022,Bantuan Biaya Pendidikan Kedokteran dan Fellowship,https://paralegal.id/pengertian/bantuan-biaya-pendidikan-dokter-spesialis-atau-dokter-gigi-spesialis/,OK
Kereta,Kereta adalah sarana perkeretaapian yang ditarik dan/atau didorong lokomotif atau mempunyai penggerak sendiri yang digunakan untuk mengangkut orang.,Peraturan Pemerintah Nomor 56 Tahun 2009,Penyelenggaraan Perkeretaapian,https://paralegal.id/pengertian/kereta/,OK
Sertipikat,"Sertipikat adalah surat tanda bukti hak sebagaimana dimaksud dalam pasal 19 ayat (2) huruf c UUPA untuk hak atas tanah, hak pengelolaan, tanah wakaf, hak milik atas satuan rumah susun dan hak tanggungan yang masing-masing sudah dibukukan dalam buku tanah yang bersangkutan.",Peraturan Pemerintah Nomor 24 Tahun 1997,Pendaftaran Tanah,https://paralegal.id/pengertian/sertipikat/,OK
Penangkapan Karbon,Penangkapan Karbon adalah kegiatan usaha penangkapan dan pemrosesan Karbon dengan spesifikasi tertentu untuk selanjutnya diangkut dengan moda pengangkutan tertentu.,Peraturan Presiden Nomor 14 Tahun 2024,Penyelenggaraan Kegiatan Penangkapan dan Penyimpanan Karbon,https://paralegal.id/pengertian/penangkapan-karbon/,OK
Dana Abadi Daerah,Dana Abadi Daerah adalah dana yang bersumber dari APBD yang bersifat abadi dan dana hasil pengelolaannya dapat digunakan untuk Belanja Daerah dengan tidak mengurangi dana pokok.,Undang-Undang Nomor 1 Tahun 2022,Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah,https://paralegal.id/pengertian/dana-abadi-daerah/,OK
Dana Abadi Korban,Dana Abadi Korban adalah dana yang disediakan untuk membiayai Kompensasi dan pemulihan Korban.,Undang-Undang Nomor 3 Tahun 2026,Pelindungan Saksi dan Korban,https://paralegal.id/pengertian/dana-abadi-korban/,OK
